sku,style_code,style_name,category,description,stringified_description,image,image_url,alternate_image,colour_tag,colour,front_color_image,front_color_image_url,back_color_image,back_color_image_url,colour_code,size,qty1,price1,qty2,price2,qty3,price3,qty4,price4,carton_height,carton_width,carton_depth,carton_weight,carton_qty,carton_cubic,product_url
9401042228451,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,4,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228468,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,6,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228475,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,8,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228390,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,16,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228369,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,10,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228376,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,12,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228383,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,14,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228406,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,18,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042228413,10117-clearance,Womens Cool Stretch Slim Leg Pant,clearance,"{'cares': ['Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30°C.'], 'sizes': ['4 - 20 (AUS/NZ)', '0 - 16 (CA/US)'], 'fabric': ['Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour'], 'features': ['Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.']}","Cares: Warm or cold machine wash, wash with similar colours, do not bleach, soak or tumble dry, line dry in shade, warm iron, recommend dry clean 30C.; Sizes: 4 - 20 (AUS/NZ),0 - 16 (CA/US); Fabric: Cool Stretch Suiting: 92% Polyester, 8% Bamboo Charcoal; Versatile and durable suiting, breathable and perfect for warmer climates keeping you cool and dry; Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour; Features: Make a statement with slim leg pants that taper into the ankle with a side splits, belt loops and front horizontal pockets under the waist band.; ",10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,,charcoal,Charcoal,10117_bProduct_Charcoal_01_qsgO2Yp.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_01_qsgO2Yp.jpg,10117_bProduct_Charcoal_02_sbHG3aw.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10117_bProduct_Charcoal_02_sbHG3aw.jpg,,20,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10117/
9401042385611,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,4,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
9401042385628,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,6,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
9401042385635,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,8,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
9401042385529,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,10,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
9401042385536,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,12,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
9401042385543,10121-clearance,Womens Cool Stretch Bandless Slim Leg Pant,clearance,"{'cares': ['Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30°C.'], 'sizes': ['4 - 26 (AUS/NZ)', '0 - 22 (CA/US)'], 'fabric': ['92% Polyester 8% Bamboo Charcoal', 'Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.'], 'features': ['Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.']}","Cares: Pants and Skirts - Warm or cold machine wash. Wash with similar colours. Do not bleach, soak or tumble dry. Line dry in shade. Warm iron. Recommend dry clean 30C.; Sizes: 4 - 26 (AUS/NZ),0 - 22 (CA/US); Fabric: 92% Polyester 8% Bamboo Charcoal,Versatile and durable suiting fabric. Breathable fabric perfect for warmer climates keeping you cool and dry. Mechanical stretch for extra comfort and anti-bacterial finish to eliminate odour.; Features: Bandless slim leg pant provides ultimate comfort. With side zip, tapered legs, front slant pockets and back slant pocket. Designed as a mid-rise.; ",10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,,charcoal,Charcoal,10121_bProduct_Charcoal_01_2u2KLbc.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_01_2u2KLbc.jpg,10121_bProduct_Charcoal_02_XvNsbFP.jpg,https://cdn.fashionbizapps.nz/honeybee/images/10121_bProduct_Charcoal_02_XvNsbFP.jpg,,14,1-99,20.0,,,,,,,,,,,,,https://www.bizcorporates.com/product/au/10121/
